class,proportion,species,run
DNA transposons,2.536,Ceratopteris,1
DNA transposons,2.248,Ceratopteris,2
DNA transposons,2.989,Ceratopteris,3
DNA transposons,5.274,Cystopteris,1
DNA transposons,4.022,Cystopteris,2
DNA transposons,4.648,Cystopteris,3
DNA transposons,4.167,Dipteris,1
DNA transposons,3.641,Dipteris,2
DNA transposons,2.807,Dipteris,3
DNA transposons,4.349,Plagiogyria,1
DNA transposons,3.801,Plagiogyria,2
DNA transposons,3.509,Plagiogyria,3
DNA transposons,2.324,Polypodium,1
DNA transposons,2.644,Polypodium,2
DNA transposons,2.247,Polypodium,3
DNA transposons,2.647,Pteridium,1
DNA transposons,2.167,Pteridium,2
DNA transposons,4.233,Pteridium,3
DNA transposons,0.217,Amborella,1
DNA transposons,0.326,Amborella,2
DNA transposons,0.407,Amborella,3
DNA transposons,0.744,Vitis,1
DNA transposons,0.7319,Vitis,2
DNA transposons,0.6562,Vitis,3
DNA transposons,2.183,Zea,1
DNA transposons,2.355,Zea,2
DNA transposons,2.244,Zea,3
DNA transposons,0.549,Gnetum,1
DNA transposons,1.243,Gnetum,2
DNA transposons,1.995,Gnetum,3
DNA transposons,0.354,Pinus,1
DNA transposons,0.726,Pinus,2
DNA transposons,0.864,Pinus,3
DNA transposons,0.785,Taxus,1
DNA transposons,1.258,Taxus,2
DNA transposons,0.863,Taxus,3
LINE,2.035,Ceratopteris,1
LINE,2.012,Ceratopteris,2
LINE,2.083,Ceratopteris,3
LINE,1.287,Cystopteris,1
LINE,2.327,Cystopteris,2
LINE,2.643,Cystopteris,3
LINE,3.503,Dipteris,1
LINE,3.637,Dipteris,2
LINE,4.19,Dipteris,3
LINE,2.093,Plagiogyria,1
LINE,2.092,Plagiogyria,2
LINE,2.849,Plagiogyria,3
LINE,2.502,Polypodium,1
LINE,2.363,Polypodium,2
LINE,2.188,Polypodium,3
LINE,1.058,Pteridium,1
LINE,0.968,Pteridium,2
LINE,2.001,Pteridium,3
LINE,0.454,Amborella,1
LINE,0.373,Amborella,2
LINE,0.525,Amborella,3
LINE,1.0331,Vitis,1
LINE,0.5585,Vitis,2
LINE,0.2674,Vitis,3
LINE,0.105,Zea,1
LINE,0.038,Zea,2
LINE,0.107,Zea,3
LINE,0.849,Gnetum,1
LINE,2.485,Gnetum,2
LINE,0.932,Gnetum,3
LINE,0.771,Pinus,1
LINE,1.25,Pinus,2
LINE,0.78,Pinus,3
LINE,0.438,Taxus,1
LINE,0.779,Taxus,2
LINE,0.947,Taxus,3
Low complexity,6.679,Ceratopteris,1
Low complexity,8.451,Ceratopteris,2
Low complexity,8.472,Ceratopteris,3
Low complexity,9.699,Cystopteris,1
Low complexity,7.161,Cystopteris,2
Low complexity,7.773,Cystopteris,3
Low complexity,8.547,Dipteris,1
Low complexity,9.121,Dipteris,2
Low complexity,10.461,Dipteris,3
Low complexity,11.663,Plagiogyria,1
Low complexity,9.913,Plagiogyria,2
Low complexity,12.163,Plagiogyria,3
Low complexity,5.616,Polypodium,1
Low complexity,7.213,Polypodium,2
Low complexity,6.625,Polypodium,3
Low complexity,9.629,Pteridium,1
Low complexity,12.384,Pteridium,2
Low complexity,11.901,Pteridium,3
Low complexity,8.401,Amborella,1
Low complexity,7.47,Amborella,2
Low complexity,8.361,Amborella,3
Low complexity,2.1296,Vitis,1
Low complexity,2.5565,Vitis,2
Low complexity,2.651,Vitis,3
Low complexity,1.457,Zea,1
Low complexity,1.267,Zea,2
Low complexity,1.134,Zea,3
Low complexity,16.472,Gnetum,1
Low complexity,17.708,Gnetum,2
Low complexity,18.782,Gnetum,3
Low complexity,9.04,Pinus,1
Low complexity,11.572,Pinus,2
Low complexity,12.515,Pinus,3
Low complexity,15.31,Taxus,1
Low complexity,15.596,Taxus,2
Low complexity,14.905,Taxus,3
LTR (Copia),24.951,Ceratopteris,1
LTR (Copia),25.89,Ceratopteris,2
LTR (Copia),25.029,Ceratopteris,3
LTR (Copia),12.726,Cystopteris,1
LTR (Copia),11.318,Cystopteris,2
LTR (Copia),11.12,Cystopteris,3
LTR (Copia),15.199,Dipteris,1
LTR (Copia),15.838,Dipteris,2
LTR (Copia),14.155,Dipteris,3
LTR (Copia),9.534,Plagiogyria,1
LTR (Copia),10.569,Plagiogyria,2
LTR (Copia),8.825,Plagiogyria,3
LTR (Copia),12.149,Polypodium,1
LTR (Copia),11.979,Polypodium,2
LTR (Copia),12.809,Polypodium,3
LTR (Copia),7.596,Pteridium,1
LTR (Copia),11.793,Pteridium,2
LTR (Copia),10.39,Pteridium,3
LTR (Copia),0.675,Amborella,1
LTR (Copia),0.635,Amborella,2
LTR (Copia),0.642,Amborella,3
LTR (Copia),2.641,Vitis,1
LTR (Copia),2.4375,Vitis,2
LTR (Copia),3.1937,Vitis,3
LTR (Copia),22.264,Zea,1
LTR (Copia),23.155,Zea,2
LTR (Copia),23.886,Zea,3
LTR (Copia),5.534,Gnetum,1
LTR (Copia),4.128,Gnetum,2
LTR (Copia),4.237,Gnetum,3
LTR (Copia),14.006,Pinus,1
LTR (Copia),15.879,Pinus,2
LTR (Copia),14.865,Pinus,3
LTR (Copia),4.937,Taxus,1
LTR (Copia),5.002,Taxus,2
LTR (Copia),5.733,Taxus,3
LTR (Gypsy),12.961,Ceratopteris,1
LTR (Gypsy),12.109,Ceratopteris,2
LTR (Gypsy),12.576,Ceratopteris,3
LTR (Gypsy),19.839,Cystopteris,1
LTR (Gypsy),18.072,Cystopteris,2
LTR (Gypsy),21.973,Cystopteris,3
LTR (Gypsy),8.006,Dipteris,1
LTR (Gypsy),7.112,Dipteris,2
LTR (Gypsy),7.816,Dipteris,3
LTR (Gypsy),15.77,Plagiogyria,1
LTR (Gypsy),15.734,Plagiogyria,2
LTR (Gypsy),14.825,Plagiogyria,3
LTR (Gypsy),17.297,Polypodium,1
LTR (Gypsy),15.873,Polypodium,2
LTR (Gypsy),15.977,Polypodium,3
LTR (Gypsy),16.636,Pteridium,1
LTR (Gypsy),19.54,Pteridium,2
LTR (Gypsy),18.101,Pteridium,3
LTR (Gypsy),1.904,Amborella,1
LTR (Gypsy),1.709,Amborella,2
LTR (Gypsy),1.621,Amborella,3
LTR (Gypsy),10.3842,Vitis,1
LTR (Gypsy),10.3049,Vitis,2
LTR (Gypsy),9.9033,Vitis,3
LTR (Gypsy),41.04,Zea,1
LTR (Gypsy),40.553,Zea,2
LTR (Gypsy),39.52,Zea,3
LTR (Gypsy),12.698,Gnetum,1
LTR (Gypsy),12.38,Gnetum,2
LTR (Gypsy),11.926,Gnetum,3
LTR (Gypsy),19.696,Pinus,1
LTR (Gypsy),20.95,Pinus,2
LTR (Gypsy),22.429,Pinus,3
LTR (Gypsy),14.068,Taxus,1
LTR (Gypsy),13.605,Taxus,2
LTR (Gypsy),13.641,Taxus,3
LTR (Other),0,Ceratopteris,1
LTR (Other),0,Ceratopteris,2
LTR (Other),0,Ceratopteris,3
LTR (Other),0.464,Cystopteris,1
LTR (Other),0.319,Cystopteris,2
LTR (Other),0.353,Cystopteris,3
LTR (Other),0.24,Dipteris,1
LTR (Other),0,Dipteris,2
LTR (Other),0,Dipteris,3
LTR (Other),0.44,Plagiogyria,1
LTR (Other),0.422,Plagiogyria,2
LTR (Other),0.442,Plagiogyria,3
LTR (Other),0.021,Polypodium,1
LTR (Other),0.065,Polypodium,2
LTR (Other),0.033,Polypodium,3
LTR (Other),0,Pteridium,1
LTR (Other),0.169,Pteridium,2
LTR (Other),0.19,Pteridium,3
LTR (Other),0.518,Amborella,1
LTR (Other),0.548,Amborella,2
LTR (Other),0.585,Amborella,3
LTR (Other),0.1881,Vitis,1
LTR (Other),0.1947,Vitis,2
LTR (Other),0.2394,Vitis,3
LTR (Other),0.082,Zea,1
LTR (Other),0.08,Zea,2
LTR (Other),0.064,Zea,3
LTR (Other),0.066,Gnetum,1
LTR (Other),0,Gnetum,2
LTR (Other),0,Gnetum,3
LTR (Other),0,Pinus,1
LTR (Other),0.053,Pinus,2
LTR (Other),0.043,Pinus,3
LTR (Other),0,Taxus,1
LTR (Other),0.099,Taxus,2
LTR (Other),0,Taxus,3
Non repetitive,24.033,Ceratopteris,1
Non repetitive,24.152,Ceratopteris,2
Non repetitive,24.087,Ceratopteris,3
Non repetitive,28.817,Cystopteris,1
Non repetitive,39.764,Cystopteris,2
Non repetitive,28.82,Cystopteris,3
Non repetitive,51.614,Dipteris,1
